Termék neve;Kiszerelés neve;TK szám;Hatóanyag;Forg Eng Jog;ATC kód 1/ATC kód 2;A hiány kezdete;A hiány tervezett vége;A hiány oka;Javaslat a hiánykészítmény pótlására;
"LEFLOXAWILL 500 mg filmtabletta;""7 X   - buborékcsomagolásban"";""OGYI-T-22652/04"";""levofloxacin"";""Goodwill Pharma Nyrt."";""J01MA12"";""2024-06-13 00:00:00"";""2025-12-13 00:00:00"";""Gyártási gond"";""Azonos hatóanyag"
"LEGALON 140 mg kemény kapszula;""60 X   - buborékcsomagolásban"";""OGYI-T-01843/02"";""silymarin"";""Cooper Consumer Health B.V."";""A05BA03"";""2025-10-07 00:00:00"";""2025-12-31 00:00:00"";""Szállítási vagy raktározási gondok"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"LENALIDOMIDE GRINDEKS 10 mg kemény kapszula;""21 X   - buborékcsomagolásban"";""OGYI-T-23591/08"";""lenalidomide"";""Grindeks AS"";""L04AX04"";""2025-08-13 00:00:00"";"""";""Szállítási vagy raktározási gondok"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"LENALIDOMIDE GRINDEKS 15 mg kemény kapszula;""21 X   - buborékcsomagolásban"";""OGYI-T-23591/10"";""lenalidomide"";""Grindeks AS"";""L04AX04"";""2025-08-19 00:00:00"";"""";""Szállítási vagy raktározási gondok"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"LENALIDOMIDE PHARMASCIENCE 10 mg kemény kapszula;""21 X   - buborékcsomagolásban"";""OGYI-T-23730/02"";""lenalidomide"";""Pharmascience International Ltd."";""L04AX04"";""2025-07-10 00:00:00"";"""";""Piaci megfontolások"";""Azonos hatóanyag"
"LENALIDOMIDE PHARMASCIENCE 15 mg kemény kapszula;""21 X   - buborékcsomagolásban"";""OGYI-T-23730/04"";""lenalidomide"";""Pharmascience International Ltd."";""L04AX04"";""2025-01-15 00:00:00"";"""";""Szállítási vagy raktározási gondok"";""Azonos hatóanyag"
"LENALIDOMIDE PHARMASCIENCE 25 mg kemény kapszula;""21 X   - buborékcsomagolásban"";""OGYI-T-23730/06"";""lenalidomide"";""Pharmascience International Ltd."";""L04AX04"";""2025-08-01 00:00:00"";"""";""Piaci megfontolások"";""Azonos hatóanyag"
"LENALIDOMIDE ZENTIVA 10 mg kemény kapszula;""21 X   - buborékcsomagolásban"";""OGYI-T-24041/06"";""lenalidomide"";""Zentiva"
"LENALIDOMIDE ZENTIVA 15 mg kemény kapszula;""21 X   - buborékcsomagolásban"";""OGYI-T-24041/07"";""lenalidomide"";""Zentiva"
"LENALIDOMIDE ZENTIVA 25 mg kemény kapszula;""21 X   - buborékcsomagolásban"";""OGYI-T-24041/09"";""lenalidomide"";""Zentiva"
"LENDORMIN 0,25 mg tabletta;""10 X   - buborékcsomagolásban"";""OGYI-T-02276/01"";""brotizolam"";""Boehringer Ingelheim International GmbH"";""N05CD09"";""2012-06-10 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"LERCATON 10 mg filmtabletta;""28 X   - buborékcsomagolásban"";""OGYI-T-08077/03"";""lercanidipine"";""Berlin-Chemie AG Menarini Group"";""C08CA13"";""2024-08-08 00:00:00"";""2034-12-31 00:00:00"";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"LERTAZIN 5 mg filmtabletta;""7 X   - buborékcsomagolásban"";""OGYI-T-20511/04"";""levocetirizine"";""Krka d.d."
"LETROZOLE TEVA 2,5 mg filmtabletta;""100 X   - buborékcsomagolásban"";""OGYI-T-21250/02"";""letrozole"";""Teva Gyógyszergyár Zrt."";""L02BG04"";""2025-10-14 00:00:00"";""2025-12-25 00:00:00"";""Hatóanyag"
"LEUCO-SCINT készlet radioaktív gyógyszerkészítményhez;""3 X   - injekciós üvegben"";""OGYI-T-08734/01"";""exametazime"";""Medi-Radiopharma Kft."";""V09AA02"";""2025-01-20 00:00:00"";"""";""Hatóanyag"
"LEUCOVORIN PHARMACENTER 10 mg/ml oldatos injekció;""1 X 100 mg/10 ml injekciós üvegben"";""OGYI-T-22805/01"";""calcium folinate"";""Pharmacenter Europe Kft."";""V03AF03"";""2025-06-12 00:00:00"";"""";""Gyártási gond"";""Azonos hatóanyag"
"LEUCOVORIN PHARMACENTER 10 mg/ml oldatos injekció;""1 X 500 mg/50 ml injekciós üvegben"";""OGYI-T-22805/07"";""calcium folinate"";""Pharmacenter Europe Kft."";""V03AF03"";""2025-06-12 00:00:00"";"""";""Gyártási gond"";""Azonos hatóanyag"
"LEUCOVORIN-TEVA 10 mg/ml oldatos injekció;""1 X 10 ml injekciós üvegben"";""OGYI-T-05072/03"";""calcium folinate"";""Teva Gyógyszergyár Zrt."";""V03AF03"";""2022-03-24 00:00:00"";"""";""Megnövekedett igény"";""Azonos hatóanyag"
"LEUCOVORIN-TEVA 10 mg/ml oldatos injekció;""1 X 20 ml injekciós üvegben"";""OGYI-T-05072/05"";""calcium folinate"";""Teva Gyógyszergyár Zrt."";""V03AF03"";""2016-06-01 00:00:00"";"""";""Gyártási gond"";""Kontingens"";"
"LEUCOVORIN-TEVA 10 mg/ml oldatos injekció;""1 X 50 ml injekciós üvegben"";""OGYI-T-05072/09"";""calcium folinate"";""Teva Gyógyszergyár Zrt."";""V03AF03"";""2024-11-05 00:00:00"";"""";""Gyártási gond"";""Kontingens"";"
"LEUPRORELIN SANDOZ 3,6 mg implantátum;""1 X   - elõretöltött fecskendõben"";""OGYI-T-21283/01"";""leuprorelin"";""Sandoz Hungária Kft."";""L02AE02"";""2020-09-08 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más hatáserõsségben elérhetõ"";"
"LEVODOPA/CARBIDOPA/ENTACAPONE TEVA  75 mg/18,75 mg/200 mg filmtabletta;""100 X   - HDPE tartályban"";""OGYI-T-22709/05"";""levodopa;carbidopa;entacapone"";""Teva Gyógyszergyár Zrt."";""N04BA03"";""2024-12-19 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"LEVODOPA/CARBIDOPA/ENTACAPONE TEVA 125 mg/31,25 mg/200 mg filmtabletta;""100 X   - HDPE tartályban"";""OGYI-T-22709/09"";""levodopa;carbidopa;entacapone"";""Teva Gyógyszergyár Zrt."";""N04BA03"";""2025-10-14 00:00:00"";"""";""Gyártási gond"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"LI-PRI 25 mg/g + 25 mg/g krém;""1 X 5 g Al tubusban"";""OGYI-T-23417/02"";""prilocaine;lidocaine"";""Kéri Pharma Hungary Kft."";""N01BB20"";""2025-10-20 00:00:00"";""2026-06-30 00:00:00"";""Gyártási gond"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"LIKACIN 250 mg/ml oldatos injekció;""50 X 2 ml injekciós üvegben"";""OGYI-T-01188/01"";""amikacin"";""Lisapharma S.p.A."";""J01GB06"";""2025-03-31 00:00:00"";""2025-12-31 00:00:00"";""Szállítási vagy raktározási gondok"";""Egyedi import"";"
"LIPOBASE krém;""1 X 100 g Al tubusban"";""OGYI-T-05059/01"";""paraffin"";""Karo Pharma AB"";""D02AX"";""2025-10-15 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"LISINOPRIL GRINDEKS 10 mg tabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-24197/10"";""lisinopril"";""Grindeks AS"";""C09AA03"";""2025-02-04 00:00:00"";"""";""Szállítási vagy raktározási gondok"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"LISINOPRIL GRINDEKS 20 mg tabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-24197/17"";""lisinopril"";""Grindeks AS"";""C09AA03"";""2025-02-04 00:00:00"";"""";""Szállítási vagy raktározási gondok"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"LISINOPRIL HEXAL 10 mg tabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-09408/02"";""lisinopril"";""HEXAL AG"";""C09AA03"";""2023-06-07 00:00:00"";"""";""Piaci megfontolások"";""Azonos hatóanyag"
"LISINOPRIL HEXAL 20 mg tabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-09408/03"";""lisinopril"";""HEXAL AG"";""C09AA03"";""2023-06-01 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"LIVIAL 2,5 mg tabletta;""1 X 28 - buborékcsomagolásban"";""OGYI-T-20953/01"";""tibolone"";""Organon Hungary Kft."";""G03CX01"";""2018-07-27 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"LOCERYL 2,5 mg/g krém;""1 X 20 g Al tubusban"";""OGYI-T-04122/02"";""amorolfine"";""Galderma International"";""D01AE16"";""2014-04-18 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"LOCOID 1 mg/g krém;""1 X 15 g tubusban"";""OGYI-T-05070/03"";""hydrocortisone butyrate"";""Cheplapharm Arzneimittel GmbH"";""D07AB02"";""2020-03-10 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"LOCOID LIPOCREAM 1 mg/g krém;""1 X 15 g tubusban"";""OGYI-T-05070/06"";""hydrocortisone butyrate"";""Cheplapharm Arzneimittel GmbH"";""D07AB02"";""2020-03-10 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"LOLISEPT FORTE 3 mg/ml szájnyálkahártyán alkalmazott spray;""1 X 88 adag HDPE tartályban"";""OGYI-T-23137/06"";""benzydamine hydrochloride"";""Goodwill Pharma Nyrt."";""R02AX03"";""2025-09-30 00:00:00"";""2025-12-30 00:00:00"";""Piaci megfontolások"";""Azonos hatóanyag"
"LORATADIN-RATIOPHARM 10 mg tabletta;""20 X   - buborékcsomagolásban"";""OGYI-T-08793/01"";""loratadine"";""Teva Gyógyszergyár Zrt."";""R06AX13"";""2015-08-01 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"LOSARTAN 1 A PHARMA 100 mg filmtabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-20144/09"";""losartan"";""1 A Pharma GmbH"";""C09CA01"";""2025-02-26 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"LOSARTAN KRKA  50 mg filmtabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-22063/08"";""losartan"";""Krka d.d."
"LOSARTAN KRKA 100 mg filmtabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-22063/14"";""losartan"";""Krka d.d."
"LOSARTAN/HYDROCHLOROTHIAZIDE KRKA  50 mg/12,5 mg filmtabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-21628/19"";""losartan;hydrochlorothiazide"";""Krka d.d."
"LOSARTAN/HYDROCHLOROTHIAZIDE KRKA 100 mg/25 mg filmtabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-21628/22"";""losartan;hydrochlorothiazide"";""Krka d.d."
"LUCETAM  400 mg filmtabletta;""60 X   - üvegben"";""OGYI-T-07153/04"";""piracetam"";""Egis Gyógyszergyár Zrt."";""N06BX03"";""2025-07-31 00:00:00"";""2026-12-31 00:00:00"";""Piaci megfontolások"";""Ugyanaz a gyógyszer más hatáserõsségben elérhetõ"";"
"Levetiracetam Actavis  500 mg filmtabletta;""120 X   - buborékcsomagolásban"";""EU/1/11/713/016"";""levetiracetam"";""Actavis Group PTC ehf."";""N03AX14"";""2018-01-25 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"Levetiracetam Actavis 1000 mg filmtabletta;""60 X   - buborékcsomagolásban"";""EU/1/11/713/034"";""levetiracetam"";""Actavis Group PTC ehf."";""N03AX14"";""2017-08-29 00:00:00"";"""";""Gyártási gond"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"Levetiracetam Teva  250 mg filmtabletta;""100 X   - buborékcsomagolásban"";""EU/1/11/701/005"";""levetiracetam"";""Teva B.V."";""N03AX14"";""2025-08-19 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"Levetiracetam Teva 1000 mg filmtabletta;""60 X   - buborékcsomagolásban"";""EU/1/11/701/025"";""levetiracetam"";""Teva B.V."";""N03AX14"";""2025-08-19 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"Levitra  5 mg filmtabletta;""4 X   - buborékcsomagolásban"";""EU/1/03/248/002"";""vardenafil"";""Bayer AG"";""G04BE09"";""2020-01-30 00:00:00"";"""";""Piaci megfontolások"";""Azonos hatóanyag"
"Levitra 10 mg szájban diszpergálódó tabletta;""4 X 1 - adagonként perforált buborékcsomagolásban"";""EU/1/03/248/015"";""vardenafil"";""Bayer AG"";""G04BE09"";""2020-01-30 00:00:00"";"""";""Piaci megfontolások"";""Azonos hatóanyag más gyógyszerformában elérhetõ"";"
"Levitra 20 mg filmtabletta;""4 X   - buborékcsomagolásban"";""EU/1/03/248/010"";""vardenafil"";""Bayer AG"";""G04BE09"";""2022-07-01 00:00:00"";"""";""Piaci megfontolások"";""Azonos hatóanyag"
"Levitra 20 mg filmtabletta;""8 X   - buborékcsomagolásban"";""EU/1/03/248/011"";""vardenafil"";""Bayer AG"";""G04BE09"";""2024-11-16 00:00:00"";"""";""Piaci megfontolások"";""Azonos hatóanyag"
"Lonquex 6 mg oldatos injekció elõretöltött fecskendõben;""1 X   - elõretöltött fecskendõben"";""EU/1/13/856/001"";""lipegfilgrastim"";""Teva B.V."";""L03AA14"";""2021-07-27 00:00:00"";"""";""Gyártási gond"";""Egyedi import"";"
"Luveris  75 NE por és oldószer oldatos injekcióhoz;""1 X   - porüveg"";""EU/1/00/155/004"";""lutropin alfa"";""Merck Europe B.V. "";""G03GA07"";""2025-01-31 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"Lyxumia 10 mikrogramm oldatos injekció;""1 X   - elõretöltött injekciós tollban"";""EU/1/12/811/001"";""lixisenatide"";""Sanofi Winthrop Industrie"";""A10BJ03"";""2022-03-08 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más hatáserõsségben elérhetõ"";"
"Lyxumia 20 mikrogramm oldatos injekció;""2 X   - elõretöltött injekciós tollban"";""EU/1/12/811/003"";""lixisenatide"";""Sanofi Winthrop Industrie"";""A10BJ03"";""2023-02-20 00:00:00"";"""";""Piaci megfontolások"";""Egyedi import"";"
"MAGNE B6 FORTE filmtabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-04353/05"";""Pyridoxine;Magnesium"";""Opella Healthcare Commercial Kft."";""A12CC30"";""2020-01-27 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"MAGNE B6 belsõleges oldat;""10 X 10  ml ampulla"";""OGYI-T-04353/03"";""magnesium lactate dihydrate;pyridoxine hydrochloride;magnesium pidolate"";""Opella Healthcare Commercial Kft."";""A12CC30"";""2018-01-09 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"MAGNE B6 bevont tabletta;""40 X   - buborékcsomagolásban"";""OGYI-T-04353/12"";""Pyridoxine;magnesium lactate dihydrate"";""Opella Healthcare Commercial Kft."";""A12CC30"";""2025-06-25 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"MAGNESIUM SULFATE KALCEKS 100 mg/ml oldatos injekció vagy infúzió;""5 X 10 ml ampulla"";""OGYI-T-23779/01"";""magnesium sulfate heptahydrate"";""AS KALCEKS"";""A12CC02"";""2025-02-04 00:00:00"";"""";""Szállítási vagy raktározási gondok"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"MANNISOL A TEVA oldatos infúzió;""1 X 500 ml mûanyag zsákban"";""OGYI-T-03517/02"";""mannitol"";""Teva Gyógyszergyár Zrt."";""B05BC01"";""2024-08-01 00:00:00"";"""";""Gyártási gond"";""Kontingens"";"
"MANNISOL B TEVA oldatos infúzió;""1 X 100 ml mûanyag zsákban"";""OGYI-T-03517/05"";""mannitol"";""Teva Gyógyszergyár Zrt."";""B05BC01"";""2024-02-06 00:00:00"";"""";""Gyártási gond"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"MANNIT EUROLIFE 20% oldatos infúzió;""40 X 100 ml infúziós zsákban"";""OGYI-T-24299/02"";""mannitol"";""Eurolife Healthcare Hungary Kft."";""B05BC01"";""2024-10-15 00:00:00"";"""";""Forgalmazás megszüntetése"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"MARFARIN 3 mg tabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-08720/08"";""warfarin"";""Viatris Ltd."";""B01AA03"";""2025-10-01 00:00:00"";""2025-11-15 00:00:00"";""Gyártási gond"";""Ugyanaz a gyógyszer más hatáserõsségben elérhetõ"";"
"MARVELON tabletta;""1 X 21 - buborékcsomagolásban"";""OGYI-T-01629/01"";""desogestrel;ethinylestradiol"";""Organon Hungary Kft."";""G03AA09"";""2020-09-25 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"MEBUCAIN ORANGE szopogató tabletta;""24 X   - buborékcsomagolásban"";""OGYI-T-08450/01"";""benzoxonium chloride;lidocaine"";""Stada Arzneimittel AG"";""R02AA"";""2019-06-04 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"MEDDEX WICK 7,33 mg méz ízû szopogató tabletta;""12 X   - buborékcsomagolásban"";""OGYI-T-21678/01"";""dextromethorphan"";""Wick Pharma GmbH"";""R05DA09"";""2018-04-01 00:00:00"";"""";""Piaci megfontolások"";""Azonos hatóanyag más gyógyszerformában elérhetõ"";"
"MEDROL 100 mg tabletta;""20 X   - üvegben"";""OGYI-T-00907/05"";""methylprednisolone"";""Pfizer Kft."";""H02AB04"";""2024-09-18 00:00:00"";"""";""Gyártási gond"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"MEGACE belsõleges szuszpenzió;""1 X 240 ml flakonban"";""OGYI-T-06416/01"";""megestrol acetate"";""Bausch Health Ireland Ltd."";""L02AB01"";""2023-10-18 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más hatáserõsségben elérhetõ"";"
"MELFEN 400 mg filmtabletta;""20 X   - buborékcsomagolásban"";""OGYI-T-08991/06"";""ibuprofen"";""PannonPharma Kft."";""M01AE01"";""2024-11-27 00:00:00"";"""";""Piaci megfontolások"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"MELIANE 0,020 mg/0,075 mg bevont tabletta;""1 X 21 - buborékcsomagolásban"";""OGYI-T-06814/01"";""gestodene;ethinylestradiol"";""Bayer AG"";""G03AA10"";""2021-02-26 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"MELIPRAMIN  25 mg filmtabletta;""50 X   - üvegben"";""OGYI-T-03217/02"";""imipramine hydrochloride"";""Egis Gyógyszergyár Zrt."";""N06AA02"";""2025-01-20 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"MELIPRAMIN  25 mg filmtabletta;""50 X   - üvegben"";""OGYI-T-03217/02"";""imipramine hydrochloride"";""Egis Gyógyszergyár Zrt."";""N06AA02"";""2025-02-14 00:00:00"";""2025-12-31 00:00:00"";""Piaci megfontolások"";""Azonos hatóanyag"
"MELOXICAM-ZENTIVA 15 mg/1,5 ml oldatos injekció;""5 X 1.5 ml ampulla"";""OGYI-T-20656/07"";""meloxicam"";""Zentiva"
"MELPHALAN TEVA 50 mg por és oldószer oldatos injekcióhoz/infúzióhoz;""1 X   - injekciós üvegben"";""OGYI-T-24475/01"";""melphalan hydrochloride"";""TEVA GmbH"";""L01AA03"";""2024-12-16 00:00:00"";"""";""Gyártási gond"";""Azonos hatóanyag"
"MEMANTINE GRINDEKS 10 mg filmtabletta;""30 X   - buborékcsomagolásban"";""OGYI-T-23819/05"";""memantine hydrochloride"";""Grindeks AS"";""N06DX01"";""2025-02-04 00:00:00"";"""";""Szállítási vagy raktározási gondok"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"MEMANTINE GRINDEKS 10 mg filmtabletta;""56 X   - buborékcsomagolásban"";""OGYI-T-23819/08"";""memantine hydrochloride"";""Grindeks AS"";""N06DX01"";""2025-09-22 00:00:00"";"""";""Szállítási vagy raktározási gondok"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"MENOPUR   75 NE por és oldószer oldatos injekcióhoz;""10 X   - injekciós üvegben"";""OGYI-T-08742/06"";""menotrophin"";""Ferring Magyarország Kft."";""G03GA02"";""2023-10-09 00:00:00"";"""";""Gyártási gond"";""Azonos hatóanyag"
"MEROPENEM APTAPHARMA 2000 mg por oldatos infúzióhoz;""6 X   - üvegben"";""OGYI-T-23338/05"";""meropenem"";""Apta Medica Internacional d.o.o."";""J01DH02"";""2025-10-08 00:00:00"";""2025-10-17 00:00:00"";""Szállítási vagy raktározási gondok"";""Ugyanaz a gyógyszer más hatáserõsségben elérhetõ"";"
"MEROPENEM BRADEX 1 g por oldatos injekcióhoz vagy infúzióhoz;""10 X   - injekciós üvegben"";""OGYI-T-23370/03"";""Meropenem trihydrate"";""BRADEX S.A."";""J01DH02"";""2021-10-25 00:00:00"";"""";""Gyártási gond"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"MEROPENEM QILU  500 mg por oldatos injekcióhoz/infúzióhoz;""10 X 20 ml injekciós üvegben"";""OGYI-T-24169/02"";""meropenem"";""Qilu Pharma Spain S.L."";""J01DH02"";""2025-07-01 00:00:00"";"""";""Piaci megfontolások"";""Azonos hatóanyag"
"MEROPENEM QILU 1 g por oldatos injekcióhoz/infúzióhoz;""10 X 30 ml injekciós üvegben"";""OGYI-T-24169/04"";""meropenem"";""Qilu Pharma Spain S.L."";""J01DH02"";""2025-07-01 00:00:00"";"""";""Piaci megfontolások"";""Azonos hatóanyag"
"MESNA PHARMACENTER 100 mg/ml oldatos injekció;""10 X 400/4 mg/ml ampulla"";""OGYI-T-23284/01"";""mesna"";""Pharmacenter Europe Kft."";""V03AF01"";""2023-11-30 00:00:00"";"""";""Piaci megfontolások"";""Azonos hatóanyag"
"METADOXIL oldatos injekció;""1 X 5 ml ampulla"";""OGYI-T-05743/01"";""metadoxine"";""PannonPharma Kft."";""A05BA09"";""2012-08-09 00:00:00"";"""";""Piaci megfontolások"";""Egyedi import"";"
"METADOXIL oldatos injekció;""10 X 5 ml ampulla"";""OGYI-T-05743/02"";""metadoxine"";""PannonPharma Kft."";""A05BA09"";""2012-08-09 00:00:00"";"""";""Piaci megfontolások"";""Egyedi import"";"
"METFORMIN VITABALANS  500 mg filmtabletta;""30 X   - HDPE tartályban"";""OGYI-T-22228/01"";""metformin hydrochloride"";""Vitabalans Oy"";""A10BA02"";""2023-04-01 00:00:00"";"""";""Forgalmazás megszüntetése"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"METHOTREXAT SANDOZ  10 mg/ml oldatos injekció;""10 X 1 ml injekciós üvegben"";""OGYI-T-02161/09"";""methotrexate"";""Sandoz Hungária Kft."";""L01BA01"";""2017-04-13 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"METHOTREXATE ORION 10 mg tabletta;""25 X   - HDPE tartályban"";""OGYI-T-23073/03"";""methotrexate"";""Orion Corporation"";""L04AX03 / na"";""2024-02-05 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más kiszerelésben elérhetõ"";"
"METHYLPREDNISOLONE SOPHARMA  40 mg por és oldószer oldatos injekcióhoz;""10 X 2 ml+1 ml porampulla+oldószerampulla"";""OGYI-T-22764/01"";""methylprednisolone"";""Sopharma AD"";""H02AB04"";""2017-11-10 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"METHYLPREDNISOLONE SOPHARMA  40 mg por és oldószer oldatos injekcióhoz;""10 X 2 ml+1 ml porampulla+oldószerampulla"";""OGYI-T-22764/01"";""methylprednisolone"";""Sopharma AD"";""H02AB04"";""2024-11-26 00:00:00"";""2025-11-30 00:00:00"";""Gyártási gond"";""Kontingens"";"
"METILPREDNIZOLON-TEVA   40 mg por oldatos injekcióhoz;""1 X   - üvegben"";""OGYI-T-07862/01"";""methylprednisolone"";""Teva Gyógyszergyár Zrt."";""H02AB04"";""2016-02-09 00:00:00"";"""";""Piaci megfontolások"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"METILPREDNIZOLON-TEVA   40 mg por oldatos injekcióhoz;""10 X   - üvegben"";""OGYI-T-07862/06"";""methylprednisolone"";""Teva Gyógyszergyár Zrt."";""H02AB04"";""2018-01-25 00:00:00"";"""";""Gyártási gond"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
"MEZITAN 35 mg módosított hatóanyagleadású filmtabletta;""60 X   - buborékcsomagolásban"";""OGYI-T-21279/01"";""trimetazidine"";""Zentiva"
"MIACALCIC 100 NE/ml oldatos injekció és infúzió;""5 X 1 ml ampulla"";""OGYI-T-23145/02"";""calcitonin (salmon)"";""Essential Pharma (M) Ltd."";""H05BA01"";""2024-04-24 00:00:00"";"""";""Piaci megfontolások"";""Ugyanaz a gyógyszer más hatáserõsségben elérhetõ"";"
"MICAFUNGIN-TEVA  50 mg por oldatos infúzióhoz való koncentrátumhoz;""1 X 10 ml injekciós üvegben"";""OGYI-T-23608/01"";""micafungin"";""Teva B.V."";""J02AX05"";""2023-09-20 00:00:00"";"""";""Gyártási gond"";""Ugyanaz a gyógyszer más hatáserõsségben elérhetõ"";"
"MICAFUNGIN-TEVA 100 mg por oldatos infúzióhoz való koncentrátumhoz;""1 X 10 ml injekciós üvegben"";""OGYI-T-23608/02"";""micafungin"";""Teva B.V."";""J02AX05"";""2022-12-13 00:00:00"";"""";""Gyártási gond"";""Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista)"";"
"MICETAL 10 mg/g gél;""1 X 100 g HDPE tartályban"";""OGYI-T-06945/03"";""flutrimazole"";""Q PHARMA Kft."";""D01AC16"";""2022-01-01 00:00:00"";"""";""Gyártási gond"";""Ugyanaz a gyógyszer más gyógyszerformában elérhetõ"";"
"MICETAL 10 mg/g krém;""1 X 15 g Al tubusban"";""OGYI-T-06945/02"";""flutrimazole"";""Q PHARMA Kft."";""D01AC16"";""2025-02-13 00:00:00"";"""";""Gyártási gond"";""Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ"";"
